model,accuracy,precision,recall,f1
Logistic Regression,0.9983607283682602,0.9981269754555742,0.9989845733255224,0.99855559025609
Decision Tree,0.9998892384032608,0.9998828399593845,0.9999218902558095,0.9999023647263283
Random Forest,0.9999113907226087,0.9999609420771003,0.9998828353837141,0.9999218872051242
XGBoost,0.9999335430419565,0.999960943602562,0.9999218902558095,0.9999414165478725
Logistic Regression (balanced),0.9986044038810864,0.99855559025609,0.9989845733255224,0.9987700357275336
Decision Tree (balanced),0.9998892384032608,0.9998828399593845,0.9999218902558095,0.9999023647263283
Random Forest (balanced),0.9999113907226087,0.9999609420771003,0.9998828353837141,0.9999218872051242
XGBoost (balanced),0.9999335430419565,0.999960943602562,0.9999218902558095,0.9999414165478725
XGBoost (SMOTE),0.9999335430419565,0.999960943602562,0.9999218902558095,0.9999414165478725
